evaluation_set,fold_id,model_family,outcome,train_rows_total,train_rows_kept,train_dropped_missing_feature,train_dropped_missing_outcome,test_rows_total,test_rows_kept,test_dropped_missing_feature,test_dropped_missing_outcome
cv,fold_0,modulation_only,reaction_time_ms,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,reaction_time_ms,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,reaction_time_ms,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,reaction_time_ms,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,reaction_time_ms,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,reaction_time_ms,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,reaction_time_variability_ms,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,reaction_time_variability_ms,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,reaction_time_variability_ms,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,reaction_time_variability_ms,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,reaction_time_variability_ms,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,reaction_time_variability_ms,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,reaction_time_variability_ms,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,reaction_time_variability_ms,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,comfort_rating,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,comfort_rating,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,comfort_rating,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,comfort_rating,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,comfort_rating,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,comfort_rating,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,comfort_rating,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,comfort_rating,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,irritation_rating,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,irritation_rating,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,irritation_rating,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,irritation_rating,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,irritation_rating,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,irritation_rating,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,irritation_rating,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,irritation_rating,3,1,2,0,1,0,1,0
cv,fold_0,acoustic_only,masking_effectiveness_rating,1,1,0,0,3,3,0,0
cv,fold_1,acoustic_only,masking_effectiveness_rating,3,3,0,0,1,1,0,0
cv,fold_0,modulation_only,masking_effectiveness_rating,1,1,0,0,3,3,0,0
cv,fold_1,modulation_only,masking_effectiveness_rating,3,3,0,0,1,1,0,0
cv,fold_0,legacy_v1,masking_effectiveness_rating,1,1,0,0,3,3,0,0
cv,fold_1,legacy_v1,masking_effectiveness_rating,3,3,0,0,1,1,0,0
cv,fold_0,candidate_v2,masking_effectiveness_rating,1,0,1,0,3,1,2,0
cv,fold_1,candidate_v2,masking_effectiveness_rating,3,1,2,0,1,0,1,0
